season,no. overall,no. in season,title,directed by,written by,original air date,prod. code,u.s. viewers (millions)
102,6,113,13,Secret Santa,Randall Einhorn,Mindy Kaling,"December 10, 2009 (2009-12-10)",6014,8.51
103,6,114,14,The Banker,Jeffrey Blitz,Jason Kessler,"January 21, 2010 (2010-01-21)",6012,7.29
104,6,115,15,Sabre,John Krasinski,Jennifer Celotta,"February 4, 2010 (2010-02-04)",6015,7.36
105,6,116,16,The Manager and the Salesman,Marc Webb,Mindy Kaling,"February 11, 2010 (2010-02-11)",6016,7.4
106,6,117118,1718,The Delivery,Seth GordonHarold Ramis,Daniel ChunCharlie Grandy,"March 4, 2010 (2010-03-04)",60186019,9.0
107,6,119,19,St. Patrick's Day,Randall Einhorn,Jonathan Hughes,"March 11, 2010 (2010-03-11)",6017,7.51
108,6,120,20,New Leads,Brent Forrester,Brent Forrester,"March 18, 2010 (2010-03-18)",6020,7.63
109,6,121,21,Happy Hour,Matt Sohn,B. J. Novak,"March 25, 2010 (2010-03-25)",6021,7.17
110,6,122,22,Secretary's Day,Steve Carell,Mindy Kaling,"April 22, 2010 (2010-04-22)",6022,6.3
111,6,123,23,Body Language,Mindy Kaling,Justin Spitzer,"April 29, 2010 (2010-04-29)",6023,7.01
112,6,124,24,The Cover-Up,Rainn Wilson,Gene Stupnitsky & Lee Eisenberg,"May 6, 2010 (2010-05-06)",6024,6.84
113,6,125,25,The Chump,Randall Einhorn,Aaron Shure,"May 13, 2010 (2010-05-13)",6025,6.6
114,6,126,26,Whistleblower,Paul Lieberstein,Warren Lieberstein & Halsted Sullivan,"May 20, 2010 (2010-05-20)",6026,6.6
115,7,127,1,Nepotism,Jeffrey Blitz,Daniel Chun,"September 23, 2010 (2010-09-23)",7001,8.4
116,7,128,2,Counseling,Jeffrey Blitz,B. J. Novak,"September 30, 2010 (2010-09-30)",7002,7.36
117,7,129,3,Andy's Play,John Stuart Scott,Charlie Grandy,"October 7, 2010 (2010-10-07)",7003,6.95
118,7,130,4,Sex Ed,Paul Lieberstein,Paul Lieberstein,"October 14, 2010 (2010-10-14)",7004,7.36
119,7,131,5,The Sting,Randall Einhorn,Mindy Kaling,"October 21, 2010 (2010-10-21)",7005,6.87
120,7,132,6,Costume Contest,Dean Holland,Justin Spitzer,"October 28, 2010 (2010-10-28)",7006,8.07
121,7,133,7,Christening,Alex Hardcastle,Peter Ocko,"November 4, 2010 (2010-11-04)",7007,7.65
122,7,134,8,Viewing Party,Ken Whittingham,Jon Vitti,"November 11, 2010 (2010-11-11)",7008,7.15
123,7,135,9,WUPHF.com,Danny Leiner,Aaron Shure,"November 18, 2010 (2010-11-18)",7009,7.28
124,7,136,10,China,Charles McDougall,Halsted Sullivan & Warren Lieberstein,"December 2, 2010 (2010-12-02)",7010,7.31
125,7,137138,1112,Classy Christmas,Rainn Wilson,Mindy Kaling,"December 9, 2010 (2010-12-09)",70117012,7.18
126,7,139,13,Ultimatum,David Rogers,Carrie Kemper,"January 20, 2011 (2011-01-20)",7013,8.26
127,7,140,14,The Seminar,B. J. Novak,Steve Hely,"January 27, 2011 (2011-01-27)",7014,7.93
128,7,141,15,The Search,Michael Spiller,Brent Forrester,"February 3, 2011 (2011-02-03)",7015,7.29
129,7,142,16,PDA,Greg Daniels,Robert Padnick,"February 10, 2011 (2011-02-10)",7017,6.9
130,7,143,17,Threat Level Midnight,Tucker Gates,B. J. Novak,"February 17, 2011 (2011-02-17)",7016,6.41
131,7,144,18,Todd Packer,Randall Einhorn,Amelie Gillette,"February 24, 2011 (2011-02-24)",7018,6.12
132,7,145,19,Garage Sale,Steve Carell,Jon Vitti,"March 24, 2011 (2011-03-24)",7019,7.07
133,7,146,20,Training Day,Paul Lieberstein,Daniel Chun,"April 14, 2011 (2011-04-14)",7020,7.87
134,7,147,21,Michael's Last Dundies,Mindy Kaling,Mindy Kaling,"April 21, 2011 (2011-04-21)",7021,6.85
135,7,148,22,"Goodbye, Michael",Paul Feig,Greg Daniels,"April 28, 2011 (2011-04-28)",7022,8.42
136,7,149,23,The Inner Circle,Matt Sohn,Charlie Grandy,"May 5, 2011 (2011-05-05)",7023,6.9
137,7,150,24,"Dwight K. Schrute, (Acting) Manager",Troy Miller,Justin Spitzer,"May 12, 2011 (2011-05-12)",7024,6.45
138,7,151152,2526,Search Committee,Jeffrey Blitz,Paul Lieberstein,"May 19, 2011 (2011-05-19)",70257026,7.29
139,8,153,1,The List,B. J. Novak,B. J. Novak,"September 22, 2011 (2011-09-22)",8002,7.64
140,8,154,2,The Incentive,Charles McDougall,Paul Lieberstein,"September 29, 2011 (2011-09-29)",8001,6.7
141,8,155,3,Lotto,John Krasinski,Charlie Grandy,"October 6, 2011 (2011-10-06)",8005,5.82
142,8,156,4,Garden Party,David Rogers,Justin Spitzer,"October 13, 2011 (2011-10-13)",8004,6.08
143,8,157,5,Spooked,Randall Einhorn,Carrie Kemper,"October 27, 2011 (2011-10-27)",8006,5.53
144,8,158,6,Doomsday,Troy Miller,Daniel Chun,"November 3, 2011 (2011-11-03)",8003,6.15
145,8,159,7,Pam's Replacement,Matt Sohn,Allison Silverman,"November 10, 2011 (2011-11-10)",8007,5.96
146,8,160,8,Gettysburg,Jeffrey Blitz,Robert Padnick,"November 17, 2011 (2011-11-17)",8008,5.5
147,8,161,9,Mrs. California,Charlie Grandy,Dan Greaney,"December 1, 2011 (2011-12-01)",8009,5.71
148,8,162,10,Christmas Wishes,Ed Helms,Mindy Kaling,"December 8, 2011 (2011-12-08)",8010,5.79
149,8,163,11,Trivia,B. J. Novak,Steve Hely,"January 12, 2012 (2012-01-12)",8011,5.9
150,8,164,12,Pool Party,Charles McDougall,Owen Ellickson,"January 19, 2012 (2012-01-19)",8012,6.02
151,8,165,13,Jury Duty,Eric Appel,Aaron Shure,"February 2, 2012 (2012-02-02)",8013,5.31
152,8,166,14,Special Project,David Rogers,Amelie Gillette,"February 9, 2012 (2012-02-09)",8014,5.19
153,8,167,15,Tallahassee,Matt Sohn,Daniel Chun,"February 16, 2012 (2012-02-16)",8015,4.38
154,8,168,16,After Hours,Brian Baumgartner,Halsted Sullivan & Warren Lieberstein,"February 23, 2012 (2012-02-23)",8016,5.02
155,8,169,17,Test the Store,Brent Forrester,Mindy Kaling,"March 1, 2012 (2012-03-01)",8017,4.95
156,8,170,18,Last Day in Florida,Matt Sohn,Robert Padnick,"March 8, 2012 (2012-03-08)",8018,4.89
157,8,171,19,Get the Girl,Rainn Wilson,Charlie Grandy,"March 15, 2012 (2012-03-15)",8019,4.87
158,8,172,20,Welcome Party,Ed Helms,Steve Hely,"April 12, 2012 (2012-04-12)",8020,4.39
159,8,173,21,Angry Andy,Claire Scanlon,Justin Spitzer,"April 19, 2012 (2012-04-19)",8021,4.35
160,8,174,22,Fundraiser,David Rogers,Owen Ellickson,"April 26, 2012 (2012-04-26)",8022,4.17
161,8,175,23,Turf War,Daniel Chun,Warren Lieberstein & Halsted Sullivan,"May 3, 2012 (2012-05-03)",8023,4.44
162,8,176,24,Free Family Portrait Studio,B. J. Novak,B. J. Novak,"May 10, 2012 (2012-05-10)",8024,4.49
163,9,177,1,New Guys,Greg Daniels,Greg Daniels,"September 20, 2012 (2012-09-20)",9001,4.28
164,9,178,2,Roy's Wedding,Matt Sohn,Allison Silverman,"September 27, 2012 (2012-09-27)",9002,4.13
165,9,179,3,Andy's Ancestry,David Rogers,Jonathan Green & Gabe Miller,"October 4, 2012 (2012-10-04)",9003,4.14
166,9,180,4,Work Bus,Bryan Cranston,Brent Forrester,"October 18, 2012 (2012-10-18)",9004,4.28
167,9,181,5,Here Comes Treble,Claire Scanlon,Owen Ellickson,"October 25, 2012 (2012-10-25)",9006,4.0
168,9,182,6,The Boat,John Krasinski,Dan Sterling,"November 8, 2012 (2012-11-08)",9007,4.83
169,9,183,7,The Whale,Rodman Flender,Carrie Kemper,"November 15, 2012 (2012-11-15)",9008,4.16
170,9,184,8,The Target,Brent Forrester,Graham Wagner,"November 29, 2012 (2012-11-29)",9009,3.88
171,9,185,9,Dwight Christmas,Charles McDougall,Robert Padnick,"December 6, 2012 (2012-12-06)",9010,4.16
172,9,186,10,Lice,Rodman Flender,Niki Schwartz-Wright,"January 10, 2013 (2013-01-10)",9011,4.54
173,9,187,11,Suit Warehouse,Matt Sohn,Dan Greaney,"January 17, 2013 (2013-01-17)",9012,4.15
174,9,188,12,Customer Loyalty,Kelly Cantley,Jonathan Green & Gabe Miller,"January 24, 2013 (2013-01-24)",9013,4.19
175,9,189,13,Junior Salesman,David Rogers,Carrie Kemper,"January 31, 2013 (2013-01-31)",9014,4.45
176,9,190,14,Vandalism,Lee Kirk,Owen Ellickson,"January 31, 2013 (2013-01-31)",9015,3.97
177,9,191,15,Couples Discount,Troy Miller,Allison Silverman,"February 7, 2013 (2013-02-07)",9016,4.15
178,9,192,16,Moving On,Jon Favreau,Graham Wagner,"February 14, 2013 (2013-02-14)",9017,4.06
179,9,193,17,The Farm,Paul Lieberstein,Paul Lieberstein,"March 14, 2013 (2013-03-14)",9005,3.54
180,9,194,18,Promos,Jennifer Celotta,Tim McAuliffe,"April 4, 2013 (2013-04-04)",9018,3.44
181,9,195,19,Stairmageddon,Matt Sohn,Dan Sterling,"April 11, 2013 (2013-04-11)",9019,3.83
182,9,196,20,Paper Airplane,Jesse Peretz,Halsted Sullivan & Warren Lieberstein,"April 25, 2013 (2013-04-25)",9020,3.25
183,9,197,21,Livin' the Dream,Jeffrey Blitz,Niki Schwartz-Wright,"May 2, 2013 (2013-05-02)",9021,3.51
184,9,198199,2223,A.A.R.M.,David Rogers,Brent Forrester,"May 9, 2013 (2013-05-09)",90229023,4.56
185,9,200201,2425,Finale,Ken Kwapis,Greg Daniels,"May 16, 2013 (2013-05-16)",90249025,5.69
